Text,Category,Rating,Comments,Tags,Created At
"Melancholic reggae flow, vocal runs blending with haunting guitar improvisations, subtle brass swells, and deep organ chords.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Powerful roots reggae anthem, steady bass groove, call-and-response brass hits, expressive male lead, and uplifting choir harmonies.","Selecionados > Reggae Master",0,"","",2025-09-04T19:06:07.013Z
"Chill reggae rhythm, layered guitar delays, soft percussive hits, and whispering vocal harmonies.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Vibrant reggae rhythm, atmospheric synths, melodic saxophone solos, and harmonized vocal ad-libs.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Roots reggae, deep bass grooves, rhythmic organ patterns, and rich vocal harmonies.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Cinematic reggae jam, emotional vocal scatting blending with intricate guitar runs and dynamic brass highlights.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Soulful roots reggae groove, deep one-drop bassline, syncopated clavinet riffs, mellow trumpet phrases, and layered vocal harmonies.","Selecionados > Reggae Master",0,"","",2025-09-04T19:05:57.051Z
"Vibrant reggae rhythm, playful vocal improvisations, bold saxophone solos, and dynamic piano riffs.","Selecionados > Reggae Master",8,"#VOCAL EXTRAORDINÁRIO!; voice:female; português, brasil; voice:female; português, brasil; português, brasil; voice:female; português, brasil; voice:female; voice:female; português, brasil; voice:female; português, brasil; voice:female; português, brasil; português, brasil; voice:female; português, brasil; voice:female; [color:bg-soft-green]; [color:bg-soft-green]","",2025-02-18T23:23:45.312Z
"Laid-back reggae ballad, smooth guitar skanks, warm analog organ pads, expressive saxophone solos, and heartfelt male lead vocals.","Selecionados > Reggae Master",0,"","",2025-09-04T19:05:58.890Z
"Uplifting island reggae, bright brass stabs, playful call-and-response vocals, steady bass groove, and shimmering piano offbeats.","Selecionados > Reggae Master",0,"","",2025-09-04T19:05:59.385Z
"Improvisational reggae rhythm, vocal loops blending with saxophone melodies, soft piano harmonics, and deep basslines.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Dynamic reggae jam, energetic rhythm guitar skanks, bold horn section crescendos, percussive bongos, and vibrant female harmonies.","Selecionados > Reggae Master",0,"","",2025-09-04T19:06:03.206Z
"Emotional dub-reggae flow, echoing guitar delays, deep sub-bass pulses, spacious organ chords, and haunting vocal improvisations.","Selecionados > Reggae Master",0,"","",2025-09-04T19:06:00.636Z
"Reggae-inspired groove, ambient piano arpeggios, dub-style bassline, and layered vocal improvisations.","Selecionados > Reggae Master",8,"REGGAE LENTO, COM VOCAL IMPROVISADO","",2025-02-18T23:23:45.312Z
"Melancholic reggae vibe, soft electric piano textures, distant trumpet echoes, deep round bass, and intimate whispered vocal delivery.","Selecionados > Reggae Master",0,"","",2025-09-04T19:06:02.514Z
"Groovy roots reggae rhythm, cascading guitar arpeggios, warm trombone interludes, soulful backing vocals, and steady drum shuffle.","Selecionados > Reggae Master",0,"","",2025-09-04T19:06:01.288Z
"Groovy roots reggae, energetic bass drops, bright organ solos, and vibrant vocal phrases.","Selecionados > Reggae Master",14,"#VOCAL MARCANTE; #PEGADA FORTE","",2025-02-18T23:23:45.312Z
"Melodic roots reggae, cascading piano arpeggios, bold saxophone solos, and warm vocal layers.","Selecionados > Reggae Master",19,"#PIANO ACOMPANHANDO; #IMPROVISO EXCELENTE; #EXCELENTE; voice:female; português, brasil; português, brasil; voice:female","",2025-02-18T23:23:45.312Z
"Roots reggae beat, harmonized vocal crescendos, vintage organ stabs, and dynamic percussion grooves.","Selecionados > Reggae Master",-1,"","",2025-02-18T23:23:45.312Z
"Classic reggae vibe, layered brass harmonies, bold organ accents, and expressive vocal ad-libs.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Soulful reggae beat, improvisational guitar phrases, dynamic brass swells, and smooth organ textures.","Selecionados > Reggae Master",2,"português, brasil","",2025-02-18T23:23:45.312Z
"Orchestral-inspired reggae, deep bass grooves, soaring string harmonies, and expressive trumpet stabs.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Emotional reggae vibe, harmonic vocal improvisations, vibrant brass crescendos, and soulful organ phrases.","Selecionados > Reggae Master",1,"português, brasil","",2025-02-18T23:23:45.312Z
"Dynamic reggae beats, acoustic guitar intros, soulful brass melodies, and warm vocal improvisations.","Selecionados > Reggae Master",1,"#REGGAE MODERNO; #VOCAL COM IMPROVISO","",2025-02-18T23:23:45.312Z
"Improvisational reggae jam, fluid guitar melodies, bold brass stabs, and call-and-response vocal patterns.","Selecionados > Reggae Master",1,"português, brasil; #IMPROVISO VOCAL","",2025-02-18T23:23:45.312Z
"Free-spirited reggae flow, vocal whispers blending with melodic brass crescendos and rhythmic organ accents.","Selecionados > Reggae Master",1,"#REGGAE ACELERADO","",2025-02-18T23:23:45.312Z
"Deep roots reggae, reverberating bassline, layered vocal crescendos, and intricate guitar plucks.","Selecionados > Reggae Master",0,"#REGGAE RAIZ; #BAIXO FORTE","",2025-02-18T23:23:45.312Z
"Cinematic reggae vibe, vocal whispers and shouts interacting with melodic guitar layers and rich brass harmonies.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Heartfelt reggae rhythm, lush saxophone melodies, ambient guitar swells, and layered backing vocals.","Selecionados > Reggae Master",1,"#BACKING VOCALS; #GUITARRA MARCANTE","",2025-02-18T23:23:45.312Z
"Dynamic reggae melody, vocal improvisations weaving through soaring trumpet solos and rhythmic guitar accents.","Selecionados > Reggae Master",4,"#IMPROVISO VOCAL; #TROMPETE","",2025-02-18T23:23:45.312Z
"Melodic reggae, smooth electric guitar riffs, soft brass accents, and call-and-response vocals.","Selecionados > Reggae Master",3,"","",2025-02-18T23:23:45.312Z
"Emotional reggae ballad, resonant bassline, soaring brass crescendos, and heartfelt vocal harmonies.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Nostalgic reggae groove, warm brass harmonies, gentle guitar plucks, and atmospheric pad layers.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Deep reggae groove, layered vocal harmonies, smooth organ riffs, and improvisational guitar licks.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Emotional reggae vibe, harmonic vocal improvisations, vibrant brass crescendos, and soulful organ phrases.","Selecionados > Reggae Master",5,"português, brasil","",2025-02-18T23:23:45.312Z
"Uplifting reggae rhythm, rich brass sections, melodic piano layers, and soulful backing vocals.","Selecionados > Reggae Master",4,"#ESTILO RETRÔ; #BEM ESTRUTURADO","",2025-02-18T23:23:45.312Z
"Classic reggae flow, punchy drum grooves, bright trumpet stabs, and call-and-response harmonies.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Fusion reggae, jazz-inspired brass solos, percussive organ accents, and warm vocal harmonies.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Experimental reggae sound, interactive vocal layers, bold instrumental solos, and atmospheric string harmonies.","Selecionados > Reggae Master",-1,"","",2025-02-18T23:23:45.312Z
"Upbeat reggae, rhythmic steel drums, bright vocal crescendos, and tropical bass grooves.","Selecionados > Reggae Master",2,"#NEWREGGAE; #REPAGINADA; REGGAE REPAGINADO JOVEM","",2025-02-18T23:23:45.312Z
"Bass-heavy reggae, haunting piano riffs, syncopated brass hits, and vocal improvisations.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Rhythmic reggae flow, soulful vocal improvisations, cascading piano arpeggios, and melodic brass swells.","Selecionados > Reggae Master",3,"#IMPROVISO VOCAL","",2025-02-18T23:23:45.312Z
"Nostalgic reggae groove, free-form vocal scatting, gentle piano phrases, and warm trumpet accents.","Selecionados > Reggae Master",3,"","",2025-02-18T23:23:45.312Z
"Melodic reggae flow, soaring trumpet solos, emotional guitar riffs, deep bassline, and vibrant vocal harmonies.","Selecionados > Reggae Master",2,"português, brasil; português, brasil","",2025-02-18T23:23:45.312Z
"Improvisational reggae jam, fluid guitar melodies, bold brass stabs, and call-and-response vocal patterns, lush brass harmonies, and cascading guitar phrases.","Selecionados > Reggae Master",1,"português, brasil; português, brasil; voice:female","",2025-02-18T23:23:45.312Z
"Dreamy reggae improvisation, vocal falsetto ad-libs, lush saxophone highlights, and fluid bass grooves.","Selecionados > Reggae Master",2,"#IMPROVISO VOCAL EXCELENTE","",2025-02-18T23:23:45.312Z
"Ambient reggae atmosphere, lush string pads, smooth organ skanks, and gentle brass layers.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Expressive roots reggae, gentle piano swells, soulful guitar melodies, and bold trumpet accents.","Selecionados > Reggae Master",0,"português, brasil; #METAIS MARCANTES","",2025-02-18T23:23:45.312Z
"Roots reggae, deep bass grooves, rhythmic organ patterns, and rich vocal harmonies.","Selecionados > Reggae Master",2,"","",2025-02-18T23:23:45.312Z
"Uplifting reggae groove, syncopated piano riffs, soaring trumpet melodies, and layered call-and-response vocals.","Selecionados > Reggae Master",1,"","",2025-02-18T23:23:45.312Z
"Melodic reggae flow, soaring trumpet solos, emotional guitar riffs, deep bassline, and vibrant vocal harmonies.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Expressive roots reggae, soulful vocal ad-libs, intricate bass lines, and layered instrumental solos.","Selecionados > Reggae Master",0,"#ÓRGÃO CLÁSSICO","",2025-02-18T23:23:45.312Z
"Roots reggae groove, layered brass sections, intricate guitar arpeggios, and soulful organ riffs.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Cinematic roots reggae, atmospheric string swells, deep bass tones, and vivid trumpet improvisations.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Cinematic reggae rhythm, deep reverb guitar chords, bright brass hits, and emotional string arrangements.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Vibrant reggae rhythm, melodic saxophone highlights, deep organ swells, and harmonic vocal phrases.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Deeply emotional reggae, swelling string harmonies, bold brass stabs, and heartfelt guitar solos.","Selecionados > Reggae Master",0,"#SOLOS DE METAIS","",2025-02-18T23:23:45.312Z
"Dreamy reggae flow, ethereal synth layers, resonant basslines, and soft trumpet solos.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Traditional reggae, rhythmic guitar skanks, groovy bassline, atmospheric synth pads, and vocal ad-libs.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Bright reggae rhythm, lush string harmonies, dynamic drum fills, and uplifting vocal lines.","Selecionados > Reggae Master",0,"","",2025-02-18T23:23:45.312Z
"Smooth reggae beats, lush vocal textures, light guitar rhythms, and soulful brass crescendos.","Selecionados > Reggae Master",-1,"","",2025-02-18T23:23:45.312Z
"Dynamic reggae, harmonic organ riffs, and bright brass hits, bongos, conga, slide guitar, guitar solo, bass solo, vocal","Selecionados > Reggae Master",5,"","",2025-05-01T15:07:27.981Z
"Uplifting reggae melody, rhythmic piano accents, fluid trumpet solos, and echoing vocal harmonies","Selecionados > Reggae Master",10,"","",2025-06-08T05:44:36.685Z
"One-drop reggae spirit, analog tape-saturated bassline, bright flute improvisations, playful organ riffs, and joyful vocal ad-libs.","Selecionados > Reggae Master",1,"","",2025-09-04T19:06:04.956Z
"Atmospheric reggae fusion, ambient string layers, dub-influenced drum patterns, mellow guitar offbeats, and emotional tenor vocals.","Selecionados > Reggae Master",0,"","",2025-09-04T19:06:06.411Z
"Reggae guitar rhythms, melodic string accents, orchestral brass stabs, deep bass groove, uplifting tone","Selecionados > Reggae Master",5,"","",2025-02-18T13:02:26.097Z
"Emotional reggae vibe, dynamic brass crescendos, soft guitar harmonics, and rhythmic organ skanks.","Selecionados > Reggae Master",3,"#VOCAL COM IMPROSIVO; #ORGÃO ACOMPANHANDO","",2025-02-18T23:23:45.312Z
"Improvisational reggae groove, vocal ad-libs blending with melodic guitar riffs, bold brass accents, and rhythmic organ skanks","Selecionados > Reggae Master",5,"","",2025-02-18T23:23:45.312Z
"Forró xote orquestral, soft orchestral strings, steady accordion riffs, gentle percussion, heartfelt vocal phrasing","Selecionados > Forró Master",2,"voice:male; português, brasil","",2025-02-18T23:24:30.024Z
"Forró rhythm, melodic accordion phrases following vocal lines, syncopated triangle accents, deep zabumba grooves, harmonic basslines, and dynamic accordion improvisations","Selecionados > Forró Master",3,"[color:bg-soft-green]; Sanfona acompanhando vocal; português, brasil; voice:female; português, brasil; português, brasil; português, brasil; voice:male; português, brasil; português, brasil; voice:male; voice:male; português, brasil; português, brasil; voice:male","",2025-02-18T23:24:30.024Z
"Forró xote orquestral, melodic violin accents, pulsing zabumba rhythm, reflective accordion phrases, inspiring tone","Selecionados > Forró Master",5,"voice:male; português, brasil","",2025-02-18T23:24:30.024Z
"Forró xote orquestral, soothing orchestral strings, pulsing zabumba, heartfelt vocal delivery, nostalgic atmosphere","Selecionados > Forró Master",2,"","",2025-02-18T23:24:30.024Z
"Forró xote orquestral, warm string ensemble, dynamic zabumba beat, melodic accordion lines, inspiring vocal harmonies","Selecionados > Forró Master",2,"português, brasil; português, brasil; voice:male; voice:male; português, brasil; voice:male; português, brasil","",2025-02-18T23:24:30.024Z
"Forró xote orquestral, dynamic string crescendos, soft accordion melodies, steady zabumba, introspective vocals","Selecionados > Forró Master",2,"voice:male; português, brasil; voice:male; português, brasil","",2025-02-18T23:24:30.024Z
"Forró xote orquestral, reflective accordion arpeggios, atmospheric string swells, gentle triangle, uplifting lyrics","Selecionados > Forró Master",4,"voice:male; português, brasil; voice:male; português, brasil","",2025-02-18T23:24:30.024Z
"Forró xote orquestral, emotive accordion melodies, lush string harmonies, gentle zabumba rhythm, heartfelt vocals","Selecionados > Forró Master",4,"voice:male; português, brasil","",2025-02-18T23:24:30.024Z
"forró xote , Orchestral swell, rabeca, sertão, fiddle, hand harmonica , poetic lyrics, improvisational accordion phrases, heartfelt accordion solos, vocal scats and ad-libs in interludes","Selecionados > Forró Master",6,"português, brasil; português, brasil; voice:male; português, brasil","",2025-02-18T23:24:30.024Z
"Forró xote orquestral, warm violin swells, soft triangle accents, melodic accordion phrases, reflective tone","Selecionados > Forró Master",3,"português, brasil; português, brasil; voice:male","",2025-02-18T23:24:30.024Z
"Joyful island reggae, upbeat piano stabs, lyrical trombone solos, and call-and-response vocals.","Selecionados > Reggae Premium",0,"","",2025-05-08T00:23:39.790Z
"Radiant reggae groove, percussive piano drive, fluent sax solos, and joyful melodic hooks.","Selecionados > Reggae Premium",1,"","",2025-05-08T00:23:39.790Z
"Uplifting one drop reggae, staccato piano syncopation, expressive flute interludes, and warm tenor lead vocals.","Selecionados > Reggae Premium",2,"","",2025-05-08T00:23:39.790Z
"Deep reggae groove, layered vocal harmonies, smooth organ riffs, and improvisational guitar licks.","Selecionados > Reggae Premium",1,"","",2025-02-18T23:23:45.312Z
"Cinematic roots reggae, spacious pad textures, lyrical saxophone themes, and gospel-style backing vocals.","Selecionados > Reggae Premium",0,"","",2025-05-08T00:23:39.790Z
"Energetic roots reggae, syncopated clavinet riffs, soaring trumpet melodies, and soulful vocal ad-libs.","Selecionados > Reggae Premium",3,"voice:female; português, brasil","",2025-05-08T00:23:39.790Z
"Bold modern reggae, dynamic keyboard comping, crisp horn punches, and rhythmic vocal phrasing.","Selecionados > Reggae Premium",0,"","",2025-05-08T00:23:39.790Z
"Velvety reggae fusion, vibraphone accents, floating sax improvisations, and emotional harmony vocals.","Selecionados > Reggae Premium",0,"","",2025-05-08T00:23:39.790Z
"Vintage dub reggae, hypnotic guitar skanks, bubbling synth lines, and delay-drenched vocal echoes.","Selecionados > Reggae Premium",0,"","",2025-05-08T00:23:39.790Z
"Modern soul-reggae blend, bold electric keys, ambient horn fills, and lush call-and-response vocals.","Selecionados > Reggae Premium",0,"","",2025-05-08T00:23:39.790Z
"Classic roots vibe, rolling piano rhythm, full horn section interplay, and textured choral refrains.","Selecionados > Reggae Premium",0,"","",2025-05-08T00:23:39.790Z
"Smooth lovers reggae, expressive electric piano licks, gentle flute phrases, and warm background harmonies.","Selecionados > Reggae Premium",1,"","",2025-05-08T00:23:39.790Z
"Sertanejo Pop Emocional; violão dedilhado, piano melancólico, percussão suave; voz masculina principal com segunda voz complementando no refrão; nostálgico, romântico, intenso","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Pop Emocional; violão dedilhado com delay, piano triste e crescente, bumbo suave em marcação cardíaca; voz masculina solo com apoio vocal só no refrão final; nostálgico, contido, esperançoso; tempo 78 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Pop Narrativo; violão em textura aberta, piano que responde à melodia, sem percussão; voz masculina com fraseado lento e limpo; confessional, nostálgico, lírico; tempo 73 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Romântico Contemporâneo; violão de aço dedilhado, piano com reverb profundo, beats suaves com leve shaker; vocal masculino solo com segunda voz em uníssono nos refrães; íntimo, intenso, poético; tempo 80 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Warm emotional ballad with introspective piano and resonant nylon guitar, supported by melodic string swells that follow the voice with soft dynamic lift","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Acústico Emotivo; violão suave em fingerstyle, piano ambiente, sem percussão; voz masculina íntima com segundas vozes discretas; nostálgico, puro, sereno; tempo 74 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Pop Narrativo; violão em textura aberta, piano que responde à melodia, sem percussão; voz masculina com fraseado lento e limpo; confessional, nostálgico, lírico; tempo 73 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Pop Reflexivo; violão firme, piano pontuado, percussão orgânica leve; voz masculina com resposta feminina alternada nos versos; maduro, emocional, tocante; tempo 77 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Pop Lento; violão de aço com delay natural, piano íntimo, leve bumbo marcando tempo; vocal masculino com resposta harmônica no pré-refrão; sincero, romântico, comovente; tempo 76 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Pop Lírico; violão fingerstyle, piano em acordes suspensos, percussão discreta e orgânica; voz masculina com harmonização leve feminina no final dos versos; sensível, sereno, tocante; tempo 74 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Sertanejo Pop Cinematográfico; violão e piano grandiosos, efeitos etéreos ao fundo, batida envolvente; vocal profundo, com refrão marcante; tema sobre encontrar um grande amor e lutar por ele; tempo 72 BPM","Selecionados > Emotivo",0,"","",2025-05-15T20:24:47.848Z
"Atmospheric Brazilian reggae, four female singers blending in layered harmonies, echoing guitar riffs, and steady drum groove.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:44.530Z
"Melancholic reggae flow, four female voices blending tight harmonies, expressive guitar runs, and steady one-drop rhythm.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:42.743Z
"Roots reggae brasileiro, four female voices blending in soulful harmonies, steady guitar skanks, deep bassline, and subtle organ textures.","Selecionados > Reggae Paralel4s",2,"","",2025-09-04T15:09:38.963Z
"Laid-back Brazilian reggae, four female singers blending harmonies with soft improvisations, flowing guitar phrases, and warm bass groove.","Selecionados > Reggae Paralel4s",1,"","",2025-09-04T15:09:40.792Z
"Powerful Brazilian reggae ballad, female vocal quartet intertwining harmonies and ad-libs, warm guitar textures, and steady one-drop beat.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:47.883Z
"Dynamic roots reggae jam, four women exchanging improvised vocal phrases, steady guitar skanks, and round bassline foundation.","Selecionados > Reggae Paralel4s",1,"","",2025-09-04T15:09:46.481Z
"Powerful roots reggae, female vocal quartet united in harmonies and vocal improvisations, bright rhythm guitars, and pulsing bassline.","Selecionados > Reggae Paralel4s",2,"","",2025-09-04T15:09:43.170Z
"Sentimental roots reggae, quartet harmonies enriched with vocal ad-libs, melodic guitar phrases, and warm analog bass.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:45.108Z
"Groovy reggae shuffle, rich Fender Rhodes patterns, echoing trumpet lines, and melodic vocal layering.","Selecionados > Reggae Paralel4s",0,"","",2025-05-08T00:23:39.790Z
"Dynamic roots reggae, quartet female vocals alternating lead and harmony, strong rhythm guitar skanks, and subtle ambient pads.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:41.235Z
"Brazilian roots reggae ballad, four women singing in layered harmonies, clean guitar arpeggios with delay, deep round bass, and heartfelt tone.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:39.868Z
"Brazilian reggae ballad, four women singing in heartfelt harmonies, flowing guitar arpeggios, deep bass groove, and warm emotional tone.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:43.618Z
"Heartfelt reggae groove, four women singing in harmony with vocal ad-libs, melodic guitar phrases with delay, and deep bass foundation.","Selecionados > Reggae Paralel4s",1,"","",2025-09-04T15:09:41.798Z
"Heartfelt reggae ballad, quartet female vocals blending harmonies with improvised runs, flowing guitar arpeggios, and deep bass warmth.","Selecionados > Reggae Paralel4s",3,"","",2025-09-04T15:09:46.039Z
"Brazilian reggae groove, female vocal quartet layering harmonies, melodic guitar riffs with delay, and intimate emotional tone.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:46.960Z
"Soulful reggae jam, quartet female vocals with spontaneous improvisations, steady guitar skanks, and deep round bass foundation.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:44.102Z
"Sentimental reggae vibe, female vocal quartet intertwining harmonies and improvised runs, steady guitar skanks, and minimal organ layers.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:40.337Z
"Emotional Brazilian reggae ballad, female vocal quartet weaving lush harmonies, soft guitar riffs, and warm bass delivery.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:42.250Z
"Emotional roots reggae, four women singing in harmony with playful improvisations, flowing guitar phrases, and deep bass presence.","Selecionados > Reggae Paralel4s",0,"","",2025-09-04T15:09:47.417Z
"Melodic Brazilian reggae, four female voices weaving in harmony and counterpoint, rhythmic guitar skanks, and subtle organ background.","Selecionados > Reggae Paralel4s",2,"","",2025-09-04T15:09:45.553Z
"Female voice, vocal harmony, Only Female voice, voice harmony, [four female lead vocals], [Studio quality recording], Melodic roots reggae, cascading piano arpeggios, and warm vocal layers","Selecionados > Reggae Paralel4s",1,"","",2025-05-08T00:23:39.790Z
"Playful reggae bounce, swirling organ textures, melodic saxophone flourishes, and layered harmony vocals.","Selecionados > Reggae Paralel4s",2,"","",2025-05-08T00:23:39.790Z
"Laid-back reggae jam, syncopated organ rhythms, colorful brass licks, and breezy improvised vocals.","Selecionados > Reggae Paralel4s",5,"","",2025-05-08T00:23:39.790Z
"Melodic reggae groove, quartet female vocals with emotional improvisations, rhythmic guitar riffs, warm bass foundation, and intimate delivery.","Selecionados > Reggae Paralel4s",3,"","",2025-09-04T15:09:39.446Z
"Reggae, male voice natural, deep dub space, sub-bass rumbles, sparse organ chords, haunting flute solo, swelling brass pads, breathy “ah-ah” echoes.","Selecionados > Reggae Rudah",0,"","",2025-09-24T14:57:41.879Z
"Reggae, male voice natural, groove-rich bass, rhythmic marimba textures, crisp organ chords, delicate horn harmonies, echo-drenched “oh-oh” backs.","Selecionados > Reggae Rudah",0,"","",2025-09-24T14:57:35.766Z
"Reggae, male voice natural, bright wah-guitar up-beats, playful sax improvisation, round sub-bass, subtle choir “ahhh” on chorus, filtered tape-delay swirls.","Selecionados > Reggae Rudah",0,"","",2025-09-24T14:57:37.472Z
"Reggae, male voice natural, soulful ballad ambience, nylon-guitar arpeggios, mellow organ drones, tender trumpet responses, whisper “yeah” echoes, warm dub tail.","Selecionados > Reggae Rudah",0,"","",2025-09-24T14:57:38.595Z
"RunawayReggae, male voice natural, warm one-drop groove, off-beat guitar chops with spring reverb, deep sub-bass, melodic flute phrases, subtle brass swells, soft “oh-oh” harmonies, light dub-echo tails.","Selecionados > Reggae Rudah",0,"","",2025-09-24T14:57:30.478Z
"Reggae, male voice natural, vintage island mood, tape-echo guitar up-beats, rolling melodica theme, soft brass murmurs, airy flute counter-melodies, gentle hum bed.","Selecionados > Reggae Rudah",0,"","",2025-09-24T14:57:37.004Z
"Reggae, male voice natural, roots drive, syncopated electric-piano stabs, expressive trombone slides, light pad backing, spring-verb ambience.","Selecionados > Reggae Rudah",0,"","",2025-09-24T14:57:40.088Z
"Reggae, male voice natural, classic roots colour, spring-verb guitar up-beats, melodic string accents, orchestral brass hits, deep bass groove, subtle “mmm” lift.","Selecionados > Reggae Rudah",0,"","",2025-09-24T14:57:47.841Z
